epoch,accuracy,loss,val_accuracy,val_loss
0,0.5454933643341064,0.6931151747703552,0.5585284233093262,0.6464703679084778
1,0.6501495242118835,0.6359720826148987,0.6153846383094788,0.668391227722168
2,0.6475865244865417,0.6218616962432861,0.7190635204315186,0.5616355538368225
3,0.6497223377227783,0.6314544677734375,0.5484949946403503,0.7688940763473511
4,0.6804784536361694,0.5976876020431519,0.7424749135971069,0.5412082672119141
5,0.6774882674217224,0.5919823050498962,0.6521739363670349,0.6259861588478088
6,0.7001281380653381,0.564334511756897,0.7090300917625427,0.5822558999061584
7,0.6740708947181702,0.6022802591323853,0.7324414849281311,0.527644157409668
8,0.6932934522628784,0.5829874873161316,0.7290970087051392,0.5258735418319702
9,0.6890217661857605,0.5910119414329529,0.7792642116546631,0.4932286739349365
10,0.6967108249664307,0.5771629810333252,0.6856187582015991,0.6383647322654724
11,0.7074074149131775,0.5620105862617493,0.7725752592086792,0.5058900117874146
12,0.708671510219574,0.5435830354690552,0.7625418305397034,0.48908546566963196
13,0.7180691957473755,0.546934962272644,0.785953164100647,0.47932693362236023
14,0.7214865684509277,0.5527326464653015,0.5886287689208984,0.9369924068450928
15,0.6680905818939209,0.5976640582084656,0.7224080562591553,0.5513782501220703
16,0.7266125679016113,0.5464730262756348,0.6622073650360107,0.6101377010345459
17,0.7257581949234009,0.5565769672393799,0.7926421165466309,0.46810054779052734
18,0.6885946393013,0.5935054421424866,0.7424749135971069,0.5239450931549072
19,0.7249038815498352,0.5389324426651001,0.7558528184890747,0.5355934500694275
20,0.708671510219574,0.5681619644165039,0.7926421165466309,0.4908297657966614
21,0.7458351254463196,0.5335787534713745,0.6822742223739624,0.6880378127098083
22,0.7227680683135986,0.5467438101768494,0.7525083422660828,0.5089541077613831
23,0.7278940677642822,0.5407493114471436,0.7491638660430908,0.5086872577667236
24,0.7424177527427673,0.5221018195152283,0.785953164100647,0.4737437963485718
25,0.7466894388198853,0.5161909461021423,0.7591972947120667,0.5218976140022278
26,0.7436992526054382,0.5140343308448792,0.7290970087051392,0.5471022725105286
27,0.7368645668029785,0.5269151329994202,0.7023411393165588,0.5714035034179688
28,0.7449807524681091,0.521920382976532,0.7792642116546631,0.46904584765434265
29,0.7629218101501465,0.4973853826522827,0.6354514956474304,0.6825495958328247
30,0.6791969537734985,0.5876078009605408,0.7224080562591553,0.5391520857810974
31,0.7257581949234009,0.5493494868278503,0.7224080562591553,0.5754781365394592
32,0.7167876958847046,0.5506173968315125,0.782608687877655,0.45349666476249695
33,0.7458351254463196,0.510990560054779,0.7056856155395508,0.5455825924873352
34,0.7240495681762695,0.5430660247802734,0.6989966630935669,0.5724884867668152
35,0.7360102534294128,0.5281895995140076,0.7491638660430908,0.5315151810646057
36,0.7530969381332397,0.5100567936897278,0.7525083422660828,0.5285323262214661
37,0.753524124622345,0.508640468120575,0.785953164100647,0.45921140909194946
38,0.7714651823043823,0.4752441942691803,0.7759197354316711,0.49469396471977234
39,0.7197778820991516,0.5512427091598511,0.7926421165466309,0.4997060000896454
40,0.7009825110435486,0.5815075635910034,0.785953164100647,0.43216508626937866
41,0.7543784976005554,0.5082554221153259,0.7725752592086792,0.46385106444358826
42,0.7398547530174255,0.5316100120544434,0.7892976403236389,0.444809228181839
43,0.7654848098754883,0.503887414932251,0.7759197354316711,0.48779475688934326
44,0.7633489966392517,0.48994559049606323,0.7692307829856873,0.5044611692428589
45,0.7748825550079346,0.48574864864349365,0.7591972947120667,0.5204494595527649
46,0.7432721257209778,0.5183833241462708,0.6555184125900269,0.8472697138786316
47,0.7236223816871643,0.5463196635246277,0.7625418305397034,0.4610358774662018
